feature,zone_20220315_2zones,zone_20220315_4zones
eco_areas_estuaries,1,1
eco_areas_ebsas,1,1
eco_mammals_killerwhalesouthres_CH,1,1
eco_mammals_killerwhalenorthres_CH,1,1
eco_birds_marbledmurrelet_CH,1,1
eco_inverts_edwardsbeachmoth_CH,1,1
eco_plants_pinksandverbena_CH,1,1
eco_plants_plainseveningprimrose_CH,1,1
eco_coarse_substratehard,1,1
eco_coarse_substratemixed,1,1
eco_coarse_substratesoft,1,1
eco_fish_herringspawnindex,1,1
eco_birds_importantbirdareas,1,1
eco_mammals_harbourseal_haulout,1,1
eco_mammals_californiasealion_haulout,1,1
eco_mammals_stellersealion_hauloutwinter,1,1
eco_mammals_stellersealion_hauloutyearround,1,1
eco_plants_bullkelp,1,1
eco_plants_generalkelp,1,1
eco_plants_giantkelp,1,1
eco_plants_kelpcanopy_biobands,1,1
eco_plants_kelpunderstory_biobands,1,1
eco_plants_eelgrass,1,1
eco_plants_eelgrass_biobands,1,1
eco_plants_surfgrass_biobands,1,1
eco_coarse_highrugosity,1,1
eco_areas_coldseeps,1,1
eco_coarse_geomorphicunits_fjordcrest,1,1
eco_coarse_geomorphicunits_fjorddepression,1,1
eco_coarse_geomorphicunits_fjorddepressionfloor,1,1
eco_coarse_geomorphicunits_fjordmound,1,1
eco_coarse_geomorphicunits_fjordwall,1,1
eco_coarse_geomorphicunits_shelfcrest,1,1
eco_coarse_geomorphicunits_shelfdepression,1,1
eco_coarse_geomorphicunits_shelfdepressionfloor,1,1
eco_coarse_geomorphicunits_shelfmound,1,1
eco_coarse_geomorphicunits_shelfwallsloping,1,1
eco_coarse_geomorphicunits_slopecanyonfloor,1,1
eco_coarse_geomorphicunits_sloperidge,1,1
eco_birds_blackoystercatcher_colonies,1,1
eco_birds_brandtscormorant_colonies,1,1
eco_birds_cassinsauklet_colonies,1,1
eco_birds_commonmurre_colonies,1,1
eco_birds_doublecrestedcormorant_colonies,1,1
eco_birds_hornedpuffin_colonies,1,1
eco_birds_pelagiccormorant_colonies,1,1
eco_birds_pigeonguillemot_colonies,1,1
eco_birds_rhinocerosauklet_colonies,1,1
eco_birds_stormpetrel_colonies,1,1
eco_birds_tuftedpuffin_colonies,1,1
eco_mammals_seaotter_habitat,1,1
eco_inverts_clam_beaches,1,1
eco_mammals_seiwhale,1,1
eco_mammals_spermwhale,1,1
eco_mammals_harbourporpoise,1,1
eco_mammals_graywhale,1,1
eco_mammals_humpbackwhale,1,1
eco_mammals_finwhale,1,1
eco_mammals_bluewhale,1,1
eco_inverts_spongecoral,1,1
eco_fish_arrowtoothflounder,1,1
eco_fish_baskingshark,1,1
eco_fish_bigskate,1,1
eco_fish_browncatshark,1,1
eco_fish_curlfinsole,1,1
eco_fish_doversole,1,1
eco_fish_englishsole,1,1
eco_fish_eulachon,1,1
eco_fish_flatheadsole,1,1
eco_fish_greensturgeon,1,1
eco_fish_hake,1,1
eco_fish_halibut,1,1
eco_fish_herring,1,1
eco_fish_juvenileflatfish,1,1
eco_fish_longnoseskate,1,1
eco_fish_pacificcod,1,1
eco_fish_pacificsanddab,1,1
eco_fish_pacificsleeper,1,1
eco_fish_petralesole,1,1
eco_fish_rexsole,1,1
eco_fish_rocksole,1,1
eco_fish_roughtailskate,1,1
eco_fish_salmon,1,1
eco_fish_sandlance,1,1
eco_fish_sandpaperskate,1,1
eco_fish_sandsole,1,1
eco_fish_sardine,1,1
eco_fish_sixgillshark,1,1
eco_inverts_dungenesscrab,1,1
eco_inverts_geoduck,1,1
eco_inverts_greenurchin,1,1
eco_inverts_oysterolympia,1,1
eco_inverts_razorclam,1,1
eco_inverts_shrimpsmoothpink,1,1
eco_inverts_shrimpsidestripe,1,1
eco_inverts_shrimpspinypink,1,1
eco_inverts_tannercrab,1,1
eco_reptiles_leatherbackseaturtle,1,1
eco_mammals_northernfurseal,1,1
eco_areas_saltmarshbiobands,1,1
eco_coarse_biophysicalunits_otherbank,1,1
eco_coarse_biophysicalunits_shelf,1,1
eco_coarse_biophysicalunits_slope,1,1
eco_coarse_biophysicalunits_trough,1,1
eco_coarse_oceansubreg_capescotttidalmixing,1,1
eco_coarse_oceansubreg_coastalmixingregion,1,1
eco_coarse_oceansubreg_harostraitandrosariopassage,1,1
eco_coarse_oceansubreg_interiorgulfislands,1,1
eco_coarse_oceansubreg_juandefucaeddy,1,1
eco_coarse_oceansubreg_juandefucastrait,1,1
eco_coarse_oceansubreg_lowflownearshore,1,1
eco_coarse_oceansubreg_vancouverislandinnershelf,1,1
eco_coarse_oceansubreg_vancouverislandshelfbreak,1,1
eco_coarse_benthichabitat_intertidal,1,1
