orig_root,orig_folder,orig_file,processed_root,processed_file,notes
01_original,PECP_Estuary_Shapefiles_PUBLIC,PECP_estuary_polys_ranked_2019_PUBLIC.shp,03_working\dst_eco.gdb,mpatt_eco_areas_estuaries,
02_processed,dst_processed.gdb,mpatt_eco_birds_marbledmurrelet,03_working\dst_eco.gdb,mpatt_eco_birds_marbledmurrelet,from Critical Habitat gdb
02_processed,dst_processed.gdb,mpatt_eco_inverts_anartaedwardsii,03_working\dst_eco.gdb,mpatt_eco_inverts_anartaedwardsii,from Critical Habitat gdb
02_processed,dst_processed.gdb,mpatt_eco_plants_coastalsilverpuffs,03_working\dst_eco.gdb,mpatt_eco_plants_coastalsilverpuffs,from Critical Habitat gdb
02_processed,dst_processed.gdb,mpatt_eco_plants_macounsmeadowfoam,03_working\dst_eco.gdb,mpatt_eco_plants_macounsmeadowfoam,from Critical Habitat gdb
02_processed,dst_processed.gdb,mpatt_eco_plants_pikeseasidebone,03_working\dst_eco.gdb,mpatt_eco_plants_pikeseasidebone,from Critical Habitat gdb
02_processed,dst_processed.gdb,mpatt_eco_plants_pinksandverbena,03_working\dst_eco.gdb,mpatt_eco_plants_pinksandverbena,from Critical Habitat gdb
02_processed,dst_processed.gdb,mpatt_eco_plants_plainseveningprimrose,03_working\dst_eco.gdb,mpatt_eco_plants_plainseveningprimrose,from Critical Habitat gdb
02_processed,dst_processed.gdb,mpatt_eco_plants_victoriesowlclover,03_working\dst_eco.gdb,mpatt_eco_plants_victoriesowlclover,from Critical Habitat gdb
02_processed,dst_processed.gdb,mpatt_eco_coarse_substratehard,03_working\dst_eco.gdb,mpatt_eco_coarse_substratehard,
02_processed,dst_processed.gdb,mpatt_eco_coarse_substratemixed,03_working\dst_eco.gdb,mpatt_eco_coarse_substratemixed,
02_processed,dst_processed.gdb,mpatt_eco_coarse_substratesoft,03_working\dst_eco.gdb,mpatt_eco_coarse_substratesoft,
02_processed,dst_processed.gdb,mpatt_eco_fish_herringspawnindex,03_working\dst_eco.gdb,mpatt_eco_fish_herringspawnindex,
01_original,IBA_BC,IBA_BC.shp,03_working\dst_eco.gdb,mpatt_eco_birds_importantbirdareas,
02_processed,dst_processed.gdb,mpatt_eco_mammals_harboursealhaulout,03_working\dst_eco.gdb,mpatt_eco_mammals_harboursealhaulout,
01_original,bcmca_eco_mammals_californiasealionhaulouts_ply_data,BCMCA_ECO_Mammals_CaliforniaSeaLionHaulouts_PlyData.shp,03_working\dst_eco.gdb,mpatt_eco_mammals_californiasealionhaulout,
02_processed,dst_processed.gdb,mpatt_eco_mammals_stellersealionhaulout,03_working\dst_eco.gdb,mpatt_eco_mammals_stellersealionhaulout,
01_original,DSTpilot_ecologicalData.gdb,mpatt_eco_plants_bullkelp_polygons_data,03_working\dst_eco.gdb,mpatt_eco_plants_bullkelp,
01_original,DSTpilot_ecologicalData.gdb,mpatt_eco_plants_generalkelp_polygons_data,03_working\dst_eco.gdb,mpatt_eco_plants_generalkelp,
